QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Matt Ryan (8009121),Bilal Powell (8009293),Ronnie Hillman (8009333),Julio Jones (8009351),Mike Evans (8009403),Jordan Matthews (8009469),Travis Kelce (8009631),Zach Zenner (8009255),Cardinals  (8010111)
Russell Wilson (8009203),David Johnson (8009319),Bilal Powell (8009293),Mike Evans (8009403),Pierre Garcon (8009378),Paul Richardson (8009528),Eric Ebron (8009574),Ronnie Hillman (8009333),Cardinals  (8010111)
Andy Dalton (8009125),David Johnson (8009319),Ronnie Hillman (8009333),Julio Jones (8009351),Mike Evans (8009403),Brandon LaFell (8009364),Antonio Gates (8009629),Rex Burkhead (8009217),Cardinals  (8010111)
Aaron Rodgers (8009146),DeAngelo Williams (8009306),Darren Sproles (8009298),Jordy Nelson (8009408),Mike Evans (8009403),Pierre Garcon (8009378),Travis Kelce (8009631),Ronnie Hillman (8009333),Cardinals  (8010111)
Aaron Rodgers (8009146),Bilal Powell (8009293),Alfred Blue (8009235),Julio Jones (8009351),Jordy Nelson (8009408),Brandon LaFell (8009364),Eric Ebron (8009574),Ronnie Hillman (8009333),Cardinals  (8010111)
Matt Ryan (8009121),Ronnie Hillman (8009333),Bobby Rainey (8009225),Julio Jones (8009351),Jordy Nelson (8009408),Mike Evans (8009403),Eric Ebron (8009574),Pierre Garcon (8009378),Cowboys  (8010106)
Jameis Winston (8009144),David Johnson (8009319),Chris Ivory (8009262),Jordy Nelson (8009408),Mike Evans (8009403),Jordan Matthews (8009469),C.J. Uzomah (8009546),Ronnie Hillman (8009333),Cardinals  (8010111)
Alex Smith (8009197),David Johnson (8009319),Alfred Blue (8009235),Julio Jones (8009351),Tyreek Hill (8009523),Pierre Garcon (8009378),Travis Kelce (8009631),Ronnie Hillman (8009333),Cardinals  (8010111)
Jameis Winston (8009144),David Johnson (8009319),Ronnie Hillman (8009333),Mike Evans (8009403),Julian Edelman (8009432),Pierre Garcon (8009378),Travis Kelce (8009631),Zach Zenner (8009255),Cowboys  (8010106)
Drew Brees (8009120),David Johnson (8009319),Darren Sproles (8009298),Mike Evans (8009403),Willie Snead (8009357),Jordan Matthews (8009469),Eric Ebron (8009574),Ronnie Hillman (8009333),Buccaneers  (8010094)
Jameis Winston (8009144),Bilal Powell (8009293),Jacquizz Rodgers (8009246),Jordy Nelson (8009408),Mike Evans (8009403),Brandon LaFell (8009364),Travis Kelce (8009631),Ronnie Hillman (8009333),Buccaneers  (8010094)
Drew Brees (8009120),Bilal Powell (8009293),Ronnie Hillman (8009333),Julio Jones (8009351),Michael Thomas (8009360),Pierre Garcon (8009378),Greg Olsen (8009563),Rex Burkhead (8009217),Cardinals  (8010111)
Russell Wilson (8009203),David Johnson (8009319),Jacquizz Rodgers (8009246),Julio Jones (8009351),Jordan Matthews (8009469),Paul Richardson (8009528),Travis Kelce (8009631),Ronnie Hillman (8009333),Buccaneers  (8010094)
Matt Ryan (8009121),David Johnson (8009319),Darren Sproles (8009298),Julio Jones (8009351),Larry Fitzgerald (8009488),Anquan Boldin (8009407),Eric Ebron (8009574),Ronnie Hillman (8009333),Cardinals  (8010111)
Kirk Cousins (8009132),Bilal Powell (8009293),Darren Sproles (8009298),Julio Jones (8009351),Mike Evans (8009403),Pierre Garcon (8009378),Zach Ertz (8009606),Ronnie Hillman (8009333),Buccaneers  (8010094)
Drew Brees (8009120),David Johnson (8009319),Ronnie Hillman (8009333),Jordy Nelson (8009408),Willie Snead (8009357),Anquan Boldin (8009407),Travis Kelce (8009631),Zach Zenner (8009255),Cardinals  (8010111)
Alex Smith (8009197),David Johnson (8009319),Bilal Powell (8009293),Mike Evans (8009403),Tyreek Hill (8009523),Jordan Matthews (8009469),Antonio Gates (8009629),Ronnie Hillman (8009333),Eagles  (8010107)
Aaron Rodgers (8009146),Bilal Powell (8009293),Ronnie Hillman (8009333),Jordy Nelson (8009408),Mike Evans (8009403),Jordan Matthews (8009469),Greg Olsen (8009563),Bobby Rainey (8009225),Raiders  (8010113)
Carson Palmer (8009185),David Johnson (8009319),Ronnie Hillman (8009333),Julio Jones (8009351),Mike Evans (8009403),J.J. Nelson (8009494),Eric Ebron (8009574),Zach Zenner (8009255),Eagles  (8010107)
Matt Ryan (8009121),David Johnson (8009319),Ronnie Hillman (8009333),Julio Jones (8009351),Adam Thielen (8009451),Pierre Garcon (8009378),Antonio Gates (8009629),Zach Zenner (8009255),Buccaneers  (8010094)
Drew Brees (8009120),Bilal Powell (8009293),Ronnie Hillman (8009333),Mike Evans (8009403),Julian Edelman (8009432),Willie Snead (8009357),Zach Ertz (8009606),Brandon LaFell (8009364),Cardinals  (8010111)
Drew Brees (8009120),Chris Ivory (8009262),Ronnie Hillman (8009333),Julio Jones (8009351),Mike Evans (8009403),Willie Snead (8009357),Travis Kelce (8009631),Pierre Garcon (8009378),Raiders  (8010113)
Russell Wilson (8009203),Ronnie Hillman (8009333),Zach Zenner (8009255),Jordy Nelson (8009408),Mike Evans (8009403),Doug Baldwin (8009524),Greg Olsen (8009563),Brandon LaFell (8009364),Cardinals  (8010111)
Carson Palmer (8009185),David Johnson (8009319),Jacquizz Rodgers (8009246),Mike Evans (8009403),Larry Fitzgerald (8009488),Chris Hogan (8009435),Travis Kelce (8009631),Ronnie Hillman (8009333),Cardinals  (8010111)
Matt Ryan (8009121),DeAngelo Williams (8009306),Darren Sproles (8009298),Julio Jones (8009351),Mike Evans (8009403),Brandon LaFell (8009364),Greg Olsen (8009563),Ronnie Hillman (8009333),Eagles  (8010107)
Andy Dalton (8009125),David Johnson (8009319),Bilal Powell (8009293),Jordy Nelson (8009408),Pierre Garcon (8009378),Tyler Boyd (8009374),Travis Kelce (8009631),Ronnie Hillman (8009333),Raiders  (8010113)
Matt Ryan (8009121),David Johnson (8009319),Chris Ivory (8009262),Julio Jones (8009351),Brandon LaFell (8009364),Tyler Boyd (8009374),Travis Kelce (8009631),Ronnie Hillman (8009333),Cowboys  (8010106)
Jameis Winston (8009144),Bilal Powell (8009293),Alfred Blue (8009235),Julio Jones (8009351),Mike Evans (8009403),J.J. Nelson (8009494),Greg Olsen (8009563),Ronnie Hillman (8009333),Cowboys  (8010106)
Drew Brees (8009120),David Johnson (8009319),Alfred Blue (8009235),Michael Thomas (8009360),Julian Edelman (8009432),Jordan Matthews (8009469),Antonio Gates (8009629),Ronnie Hillman (8009333),Cardinals  (8010111)
Aaron Rodgers (8009146),David Johnson (8009319),Ronnie Hillman (8009333),Jordy Nelson (8009408),Larry Fitzgerald (8009488),Pierre Garcon (8009378),Eric Ebron (8009574),Zach Zenner (8009255),Redskins  (8010091)
Carson Palmer (8009185),Bilal Powell (8009293),DeMarco Murray (8009232),Jordy Nelson (8009408),Mike Evans (8009403),J.J. Nelson (8009494),Antonio Gates (8009629),Ronnie Hillman (8009333),Cardinals  (8010111)
Matt Ryan (8009121),Jacquizz Rodgers (8009246),Chris Ivory (8009262),Julio Jones (8009351),Jordy Nelson (8009408),J.J. Nelson (8009494),Greg Olsen (8009563),Ronnie Hillman (8009333),Cardinals  (8010111)
Jameis Winston (8009144),DeMarco Murray (8009232),Ronnie Hillman (8009333),Julio Jones (8009351),Mike Evans (8009403),Larry Fitzgerald (8009488),Dennis Pitta (8009541),Pierre Garcon (8009378),Cardinals  (8010111)
Drew Brees (8009120),Ronnie Hillman (8009333),Rex Burkhead (8009217),Jordy Nelson (8009408),Mike Evans (8009403),Michael Thomas (8009360),Travis Kelce (8009631),Jordan Matthews (8009469),Rams  (8010110)
