"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09","X2017.04.10","X2017.04.11","X2017.04.12","X2017.04.13","X2017.04.14","X2017.04.15","X2017.04.16","X2017.04.17","X2017.04.18","X2017.04.19","X2017.04.20","X2017.04.21","X2017.04.22","X2017.04.23","X2017.04.24","X2017.04.25","X2017.04.26","X2017.04.27"
"1","Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14,13,5,12,0,13,11,6,NA,21,14,11,10,16,10,7
"2","Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA,5,23,21,32,18,26,17,8,21,0,6,5,36,18,11,NA
"3","Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA,10,0,18,16,8,18,33,10,NA,2,17,2,10,9,0,14,NA
"4","Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5,16,NA,12,5,8,40,10,23,0,14,16,4,NA,NA,10,16
"5","Joey Votto_CIN",NA,0,NA,14,NA,7,7,18,4,0,9,2,14,11,8,NA,25,2,14,2,32,4,16,3,14,NA
"6","Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4,17,19,NA,26,19,NA,9,6,10,NA,3,23,22,NA,2,NA,NA
"7","Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9,0,10,NA,4,4,NA,NA,NA,NA,NA,2,0,16,NA,6,11,9
"8","Jonathan Villar_MIL",NA,13,0,19,NA,0,22,0,NA,0,17,2,28,4,NA,0,0,5,10,6,5,11,4,16,8,NA
"9","George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17,5,NA,3,22,NA,5,17,0,NA,9,2,NA,NA,NA,NA,NA
"10","Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA,14,13,15,NA,14,0,5,NA,NA,3,10,11,14,6,7,NA
"11","Matt Carpenter_STL",5,NA,0,NA,NA,2,4,5,8,NA,10,NA,18,3,5,NA,NA,3,17,7,7,2,NA,NA,NA,6
"12","Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA,2,26,4,11,0,5,14,NA,NA,6,5,7,0,24,9,NA
"13","Adam Duvall_CIN",NA,8,NA,7,NA,0,0,26,16,21,7,0,0,NA,4,NA,27,0,0,19,5,NA,0,14,16,NA
"14","Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA,8,30,NA,21,5,21,8,0,5,0,12,0,0,NA,NA,13,15
"15","Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9,0,5,3,5,2,NA,18,0,NA,17,5,15,5,3,8,7
"16","CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5,NA,NA,NA,5,0,0,3,NA,2,9,2,NA,NA,NA,10
"17","Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA,4,12,3,0,0,7,3,3,2,5,0,10,0,7,0,16,NA
"18","Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Aledmys Diaz_STL",18,NA,0,NA,NA,0,37,3,0,17,NA,NA,10,0,0,0,0,NA,13,3,NA,7,NA,0,NA,NA
"20","Dexter Fowler_STL",7,NA,3,NA,NA,2,11,0,9,7,7,NA,0,0,3,0,12,31,0,5,NA,2,NA,12,NA,24
"21","Stephen Piscotty_STL",9,NA,4,NA,NA,2,NA,NA,10,0,30,NA,2,16,5,3,2,3,7,NA,2,7,NA,12,NA,13
"22","Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,19,NA,NA,10,2
"23","Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA,24,7,NA,0,3,11,0,0,NA,5,NA,2,NA,3,3,NA,NA
"24","Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
