"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Alex Wood","Edinson Volquez","Austin Barnes","Justin Bour","Dee Gordon","Manny Machado","Carlos Correa","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"2","Alex Wood","Robbie Ray","JT Realmuto","Justin Bour","Rougned Odor","Derek Dietrich","Brandon Crawford","Christian Yelich","Marcell Ozuna","Matt Olson"
"3","Alex Wood","Edinson Volquez","Wilson Ramos","Logan Morrison","Rougned Odor","Evan Longoria","Trevor Story","Corey Dickerson","Steven Souza","Christian Yelich"
"4","Alex Wood","Edinson Volquez","Wilson Ramos","Anthony Rizzo","Rougned Odor","Adrian Beltre","Elvis Andrus","Shin-Soo Choo","Christian Yelich","Nomar Mazara"
"5","Alex Wood","Edinson Volquez","Brian McCann","Justin Bour","Jose Altuve","Derek Dietrich","Carlos Correa","Josh Reddick","Christian Yelich","Carlos Beltran"
"6","Robbie Ray","Lance McCullers","Bruce Maxwell","Justin Bour","Dee Gordon","Evan Longoria","Brandon Crawford","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"7","Jacob deGrom","Edinson Volquez","JT Realmuto","Justin Bour","Rougned Odor","Evan Longoria","Trevor Story","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"8","Robbie Ray","Edinson Volquez","Austin Barnes","Anthony Rizzo","Jose Altuve","Alex Bregman","Carlos Correa","George Springer","Josh Reddick","Christian Yelich"
"9","Alex Wood","Robbie Ray","Bruce Maxwell","Justin Bour","Jonathan Schoop","Manny Machado","Freddy Galvis","Mark Trumbo","Adam Jones","Seth Smith"
"10","Alex Wood","Edinson Volquez","Willson Contreras","Anthony Rizzo","Ian Happ","Manny Machado","Addison Russell","Corey Dickerson","Christian Yelich","Jon Jay"
"11","Jacob deGrom","Tanner Roark","JT Realmuto","Justin Bour","Jonathan Schoop","Derek Dietrich","Carlos Correa","Christian Yelich","Marcell Ozuna","Mallex Smith"
"12","Robbie Ray","Tanner Roark","JT Realmuto","Justin Bour","Daniel Murphy","Manny Machado","Asdrubal Cabrera","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"13","Robbie Ray","Tanner Roark","Wilson Ramos","Logan Morrison","Dee Gordon","Evan Longoria","Tim Beckham","Shin-Soo Choo","Steven Souza","Christian Yelich"
"14","Alex Wood","Lance McCullers","JT Realmuto","Justin Bour","Jonathan Schoop","Stephen Drew","Freddy Galvis","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"15","Robbie Ray","Edinson Volquez","Bruce Maxwell","Logan Morrison","Dee Gordon","Evan Longoria","Carlos Correa","Corey Dickerson","Steven Souza","Mallex Smith"
"16","Alex Wood","Edinson Volquez","JT Realmuto","Justin Bour","Daniel Murphy","Derek Dietrich","JT Riddle","Bryce Harper","Shin-Soo Choo","Marcell Ozuna"
"17","Robbie Ray","Lance McCullers","Austin Barnes","Justin Bour","Rougned Odor","Adrian Beltre","Elvis Andrus","Shin-Soo Choo","Nomar Mazara","Seth Smith"
"18","Alex Wood","Tanner Roark","Austin Barnes","Logan Morrison","Jonathan Schoop","Evan Longoria","Adeiny Hechavarria","Corey Dickerson","Christian Yelich","Mallex Smith"
"19","Alex Wood","Lance McCullers","Austin Barnes","Trey Mancini","Jonathan Schoop","Manny Machado","Trevor Story","Mark Trumbo","Christian Yelich","Adam Jones"
"20","Robbie Ray","Tanner Roark","Brian McCann","Anthony Rizzo","Jose Altuve","Manny Machado","Carlos Correa","Josh Reddick","Mallex Smith","Carlos Beltran"
