"Carlos Correa_HOU","Kris Bryant_CHC","Jose Altuve_HOU","Manny Machado_BAL","Anthony Rizzo_CHC","Ryan Braun_MIL","Jay Bruce_NYM","Aaron Judge_NYY","Eric Thames_MIL","George Springer_HOU","Michael Conforto_NYM","Jose Abreu_CWS","Gary Sanchez_NYY","Wil Myers_SD","Matt Carpenter_STL","Brett Gardner_NYY","Todd Frazier_CWS","Starlin Castro_NYY","Asdrubal Cabrera_NYM","Jedd Gyorko_STL","Evan Gattis_HOU","Jonathan Villar_MIL","Mark Trumbo_BAL","Jacoby Ellsbury_NYY","Lucas Duda_NYM","Keon Broxton_MIL","Yoenis Cespedes_NYM","Lorenzo Cain_KC","Chris Davis_BAL","Dexter Fowler_STL","Matt Holliday_NYY","Josh Reddick_HOU","Curtis Granderson_NYM","Neil Walker_NYM","Travis Shaw_MIL","Adam Jones_BAL","Kolten Wong_STL","Kyle Schwarber_CHC","Aledmys Diaz_STL","Carlos Beltran_HOU","Alex Bregman_HOU","Eric Hosmer_KC","Jonathan Schoop_BAL","Melky Cabrera_CWS","Stephen Piscotty_STL","Javier Baez_CHC","Brian McCann_HOU","Chris Carter_NYY","Marwin Gonzalez_HOU","Aaron Hicks_NYY","Jose Reyes_NYM","Domingo Santana_MIL","Seth Smith_BAL","Avisail Garcia_CWS","Ben Zobrist_CHC","Didi Gregorius_NYY","Welington Castillo_BAL","Trey Mancini_BAL","Ryan Schimpf_SD","Randal Grichuk_STL","Jeimer Candelario_CHC","Chase Headley_NYY","Norichika Aoki_HOU","David Wright_NYM","Wilmer Flores_NYM","Hernan Perez_MIL","Mike Moustakas_KC","Salvador Perez_KC","Jorge Soler_KC","Tim Anderson_CWS","Tommy Pham_STL","Magneuris Sierra_STL","Greg Bird_NYY","TJ Rivera_NYM","Hyun Soo Kim_BAL","Matt Davidson_CWS","Tyler Saladino_CWS","Manuel Margot_SD","Jason Heyward_CHC","Addison Russell_CHC","Yuli Gurriel_HOU","Travis d'Arnaud_NYM","Brandon Moss_KC","Whit Merrifield_KC","Yangervis Solarte_SD","Alex Dickerson_SD","Cory Spangenberg_SD","Yadier Molina_STL","Jon Jay_CHC","Rob Refsnyder_NYY","Nick Franklin_MIL","Jett Bandy_MIL","Brandon Nimmo_NYM","Craig Gentry_BAL","Charlie Tilson_CWS","Willson Contreras_CHC","Jesus Aguilar_MIL","Paulo Orlando_KC","Billy Burns_KC","Cheslor Cuthbert_KC","Travis Jankowski_SD","Miguel Montero_CHC","Albert Almora_CHC","Juan Lagares_NYM","Orlando Arcia_MIL","Gavin Cecchini_NYM","Alex Gordon_KC","Jorge Bonifacio_KC","Peter O'Brien_KC","Joey Rickard_BAL","Matt Szczur_SD","Hunter Renfroe_SD","Jhonny Peralta_STL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Matt Reynolds_NYM","Kevin Plawecki_NYM","JJ Hardy_BAL","Erick Aybar_SD","Leury Garcia_CWS","Jacob May_CWS","Austin Hedges_SD","Matt Adams_STL","Jake Marisnick_HOU","Gleyber Torres_NYY","Manny Pina_MIL","Alcides Escobar_KC","Terrance Gore_KC","Ryan O'Hearn_KC","Christian Bethancourt_SD","Ian Happ_CHC","Harrison Bader_STL","Austin Romine_NYY","Ronald Torreyes_NYY","Derek Fisher_HOU","Rene Rivera_NYM","Francisco Pena_BAL","Christian Colon_KC","Ryan Flaherty_BAL","Geovany Soto_CWS","Omar Narvaez_CWS","Yolmer Sanchez_CWS","Cody Asche_CWS","Willy Garcia_CWS","Jose Martinez_STL","Tommy La Stella_CHC","Eric Sogard_MIL","Caleb Joseph_BAL","Luis Sardinas_SD","Allen Cordoba_SD","Greg Garcia_STL","Raul Mondesi_KC","Jabari Blash_SD","Kevan Smith_CWS","Kyle Higashioka_NYY","Hector Sanchez_SD","Carson Kelly_STL","Tony Kemp_HOU","Eric Fryer_STL","Drew Butera_KC","Zack Collins_CWS","Eloy Jimenez_CHC","Luis Torrens_SD"
44.7367816091954,0,-19.4444444444444,0,0,0,0,0,0,3.17166666666667,0,0,0,0,0,0,0,0,0,0,-1.38562091503268,0,0,0,0,0,0,0,0,0,0,17.9209486166008,0,0,0,0,0,0,0,0.00615384615384615,4.5997150997151,0,0,0,0,0,1.15952380952381,0,7.77205882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.63398692810458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65.5816091954023,0,0,-1.03448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,10.3225108225108,0,0,0,0,0,0,0,0,16.4025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93297101449275,28.3066239316239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.4444444444444,0,65.1397849462366,0,0,0,0,0,0,-9.45502645502646,0,0,0,0,0,0,0,0,0,0,9.27450980392157,0,0,0,0,0,0,0,0,0,0,-7.59782608695652,0,0,0,0,0,0,0,-1.25641025641026,8.38888888888889,0,0,0,0,0,-7.73571428571429,0,-2.96732026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3691520467836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58.3930481283422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4594474153298,0,0,0,0,0,-10.0161290322581,0,0,0,0,0,0,1.39839572192513,0,0,0,0,0,0,-2.81344696969697,0,0,0,0,0,0,0,0,0,30.3492647058824,0,0,0,8.79411764705882,8.77485380116959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.03448275862069,0,0,57.1032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18915343915344,0,0,0,0,0,0,0,1.46245059288538,0,0,0,0,0,0,0,0,8.08300395256917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0398550724638,4.41452991452991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3122529644269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,66.4266666666667,0,0,16.5757575757576,0,0,0,0,0,0,0,0,0,0,0,0,-21.9525691699605,0,0,0,-31.5555555555556,0,0,0,0,0,0,0,0,-18.1515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.9230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8181818181818,0,0,0,0,0,0,0,0,0,0,0,0,14.0952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,109.939393939394,0,0,0,-3.17748917748918,0,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,-21.5708333333333,0,0,0,0,0,-6.70899470899471,-17.1451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.462962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,122.076354679803,0,0,0,0,0,0,0,67.8829051383399,0,33.0033866995074,0,0,0,0,0,-2.59420289855072,0,0,0,0,0,0,46.3241106719368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.9450549450549,0,0,0,0,0,0,0,0,0,0,0,7.26153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7169117647059,30.9078947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16.5757575757576,0,0,94.8451612903226,0,0,0,0,0,0,0,0,0,0,0,0,-3.58497536945813,0,0,0,-12.4420289855072,0,0,0,0,0,0,0,0,20.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.29051383399209,0,0,0,0,0,0,0,0,0,0,0,0,0,65.281432748538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82352941176471,0,0,0,0,0,0,0,0,0,0,0,0,4.32478632478632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.17166666666667,0,-9.45502645502646,0,0,0,0,0,0,48.8677248677249,0,0,0,0,0,0,0,0,0,0,17.85,0,0,0,0,0,0,0,0,0,0,-8.46428571428571,0,0,0,0,0,0,0,-2.82666666666667,4.03333333333333,0,0,0,0,0,-1.71241830065359,0,17.7610294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58455882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
