"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Jameson Taillon","John Lackey","Chris Herrmann","Paul Goldschmidt","Dixon Machado","Jake Lamb","Chris Owings","Bryce Harper","Gregor Blanco","Mark Trumbo"
"Kenta Maeda","Trevor Bauer","Chris Herrmann","Paul Goldschmidt","Yangervis Solarte","Jake Lamb","Chris Owings","JD Martinez","Corey Dickerson","Gregor Blanco"
"Jimmy Nelson","Joe Ross","Chris Herrmann","Paul Goldschmidt","Eric Sogard","Jake Lamb","Chris Owings","Gregor Blanco","Jose Bautista","Steven Souza"
"Jacob deGrom","Ubaldo Jimenez","Chris Herrmann","Paul Goldschmidt","Dee Gordon","Jake Lamb","Chris Owings","Gregor Blanco","Mallex Smith","Billy Hamilton"
"Jameson Taillon","Jimmy Nelson","Cameron Rupp","Ryan Zimmerman","Daniel Murphy","Josh Donaldson","Trea Turner","Bryce Harper","Mark Trumbo","Brian Goodwin"
"Jameson Taillon","John Lackey","Austin Barnes","Cody Bellinger","Logan Forsythe","Justin Turner","Trea Turner","Bryce Harper","Yasiel Puig","Mark Trumbo"
"Jameson Taillon","John Lackey","Matt Wieters","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Corey Seager","Bryce Harper","Ender Inciarte","Mark Trumbo"
"Robbie Ray","Kenta Maeda","James McCann","Matt Carpenter","Dixon Machado","Nicholas Castellanos","Trea Turner","Bryce Harper","Justin Upton","Alex Presley"
"Lance Lynn","James Shields","Chris Herrmann","Paul Goldschmidt","Jose Ramirez","Jake Lamb","Chris Owings","Adam Frazier","Gregor Blanco","Jason Heyward"
"Jacob Faria","JA Happ","Chris Herrmann","Paul Goldschmidt","Logan Forsythe","Jake Lamb","Chris Owings","Gregor Blanco","Christian Yelich","Hunter Renfroe"
"Robbie Ray","Trevor Bauer","Derek Norris","Matt Carpenter","Daniel Robertson","Todd Frazier","Tim Beckham","Bryce Harper","Corey Dickerson","Mallex Smith"
"Robbie Ray","Trevor Bauer","AJ Ellis","Justin Bour","Dixon Machado","Derek Dietrich","JT Riddle","Bryce Harper","Marcell Ozuna","Mark Trumbo"
