"Jose Altuve_Hou","Brian Dozier_Min","Carlos Correa_Hou","Paul Goldschmidt_Ari","Dexter Fowler_StL","Matt Carpenter_StL","George Springer_Hou","Robinson Cano_Sea","Nelson Cruz_Sea","Corey Seager_LAD","Nolan Arenado_Col","Charlie Blackmon_Col","Todd Frazier_CWS","Gary Sanchez_NYY","Jean Segura_Sea","Jose Abreu_CWS","Miguel Sano_Min","Stephen Piscotty_StL","Trevor Story_Col","Melky Cabrera_CWS","Aledmys Diaz_StL","Carlos Gonzalez_Col","Chris Carter_NYY","Kyle Seager_Sea","Ian Desmond_Col","Max Kepler_Min","Matt Holliday_NYY","Randal Grichuk_StL","Evan Gattis_Hou","Alex Bregman_Hou","Khris Davis_Oak","Mark Reynolds_Col","Joe Mauer_Min","Tim Anderson_CWS","Brett Gardner_NYY","Jonathan Lucroy_Tex","Rougned Odor_Tex","AJ Pollock_Ari","Buster Posey_SF","DJ LeMahieu_Col","Hunter Pence_SF","David Dahl_Col","Kennys Vargas_Min","Robbie Grossman_Min","Yadier Molina_StL","Jedd Gyorko_StL","Jacoby Ellsbury_NYY","Aaron Judge_NYY","Carlos Beltran_Hou","Rajai Davis_Oak","Shin-Soo Choo_Tex","Adrian Gonzalez_LAD","Jake Lamb_Ari","Yasiel Puig_LAD","Eduardo Nunez_SF","Tyler Saladino_CWS","Eddie Rosario_Min","Byron Buxton_Min","Adrian Beltre_Tex","Logan Forsythe_LAD","Joc Pederson_LAD","Yasmany Tomas_Ari","Brandon Belt_SF","Jorge Polanco_Min","Avisail Garcia_CWS","Starlin Castro_NYY","Didi Gregorius_NYY","Trevor Plouffe_Oak","Josh Reddick_Hou","Mitch Haniger_Sea","Justin Turner_LAD","Denard Span_SF","Greg Bird_NYY","Jhonny Peralta_StL","Ryon Healy_Oak","Marcus Semien_Oak","Norichika Aoki_Hou","Mike Napoli_Tex","Elvis Andrus_Tex","Carlos Gomez_Tex","David Peralta_Ari","Joe Panik_SF","Matt Adams_StL","Brian McCann_Hou","Danny Valencia_Sea","Nomar Mazara_Tex","Yasmani Grandal_LAD","Chase Utley_LAD","Brandon Drury_Ari","Chris Owings_Ari","Franklin Gutierrez_LAD","Brandon Crawford_SF","Gerardo Parra_Col","Matt Davidson_CWS","Charlie Tilson_CWS","Kolten Wong_StL","Chase Headley_NYY","Stephen Vogt_Oak","Yuli Gurriel_Hou","Derek Fisher_Hou","Joey Gallo_Tex","Taylor Motter_Sea","Leonys Martin_Sea","Danny Santana_Min","Harrison Bader_StL","Delino DeShields_Tex","Cody Bellinger_LAD","Chris Taylor_LAD","Jeremy Hazelbaker_Ari","Jarrett Parker_SF","Jason Castro_Min","Jose Martinez_StL","Pete Kozma_NYY","Aaron Hicks_NYY","Josh Phegley_Oak","Mark Canha_Oak","Jarrod Dyson_Sea","Chris Herrmann_Ari","Trayce Thompson_LAD","Nick Hundley_SF","Stephen Cardullo_Col","Chris Gimenez_Min","Eduardo Escobar_Min","Leury Garcia_CWS","Jacob May_CWS","Greg Garcia_StL","Yonder Alonso_Oak","Marwin Gonzalez_Hou","Mike Zunino_Sea","Jurickson Profar_Tex","Ben Gamel_Sea","Austin Barnes_LAD","Socrates Brito_Ari","Dustin Garneau_Col","Mac Williamson_SF","Cody Asche_CWS","Gleyber Torres_NYY","Jed Lowrie_Oak","Guillermo Heredia_Sea","Rob Segedin_LAD","Tom Murphy_Col","Kelby Tomlinson_SF","Geovany Soto_CWS","Omar Narvaez_CWS","Austin Romine_NYY","Jake Smolinski_Oak","Jake Marisnick_Hou","Robinson Chirinos_Tex","Brett Nicholas_Tex","Shawn O'Malley_Sea","Andre Ethier_LAD","Andrew Toles_LAD","Pat Valaika_Col","Yolmer Sanchez_CWS","Ehire Adrianza_Min","Willy Garcia_CWS","Carson Kelly_StL","Ronald Torreyes_NYY","Carlos Ruiz_Sea","Ryan Rua_Tex","Scott Van Slyke_LAD","Kike Hernandez_LAD","Tony Wolters_Col","Gorkys Hernandez_SF","Eric Fryer_StL","Matt Joyce_Oak","Chris Iannetta_Ari","Conor Gillaspie_SF","Kyle Higashioka_NYY","Adam Rosales_Oak","Mike Freeman_Sea","Hanser Alberto_Tex","Daniel Descalso_Ari","Cristhian Adames_Col","Kevan Smith_CWS","Jaff Decker_Oak","Nick Ahmed_Ari","Alexi Amarista_Col","Raimel Tapia_Col","Zack Collins_CWS","Tim Federowicz_SF","Drew Robinson_Tex","Jeff Mathis_Ari","Aaron Hill_SF","Chris Marrero_SF"
94.0444444444445,0,-0.266666666666667,0,0,0,2.04444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.2,33.7638888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3809523809524,0,0,0,0,0,0,0,84.65,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25.3666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.766666666666667,0,0,0,0,0,0,0,0,26.2333333333333,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,0,0,0,0,-1.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,6.9,8.75,0,0,0,0,0,3.73333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.3333333333333,0,0,0,0,0,0,0,0,0,0,-5.5,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.266666666666667,0,9.6,0,0,0,-9.26666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,2.36111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78571428571429,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,44.2545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65277777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2888888888889,0,0,0,0,0,0,0,0,7.80555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7638888888889,0,0,0,0,0,0,0,27.0111111111111,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.3333333333333,0,0,0,0,0,8.33333333333333,0,0,0,-7.33333333333333,0,0,0,0,0,0.19047619047619,0,0
0,0,0,0,15.8611111111111,-2.67857142857143,0,0,0,0,0,0,0,0,0,0,0,8.51785714285714,0,0,36.0357142857143,0,0,0,0,0,0,7.58928571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8214285714286,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-2.67857142857143,32.7857142857143,0,0,0,0,0,0,0,0,0,0,0,5.54761904761905,0,0,7.76190476190476,0,0,0,0,0,0,14.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28571428571429,-8.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.04444444444444,0,-9.26666666666667,0,0,0,93.8777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,25.6527777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.87777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6904761904762,0,0,0,0,0,0,0,17.85,0,0,0,0,0,0,-36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9.56666666666667,0.133333333333333,0,0,0,0,0,-22.8666666666667,0,0,0,0,0,0,0,0,1.57777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,-1.32142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06666666666667,0,0,0,0,0,0,0,0,0,0,0,2.80357142857143,0,0,0,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.133333333333333,32.4888888888889,0,0,0,0,0,-9.73333333333333,0,0,0,0,0,0,0,0,9.26666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.71111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.45833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.4166666666667,17.8035714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6888888888889,0,0,0,0,0,0,0,0,0,0,0,0.0535714285714286,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42857142857143,0,47.5833333333333,0,0,0,0,0,24.9642857142857,49.8,0,0,0,0,0,0,0,0,0,45.0357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5535714285714,10,0,0,-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
