"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Chris Sale",12500,"BAL@BOS 07:10PM ET",32.95,"BOS","BAL",27.28,25.7,27.5465,NA,37
"SP","Corey Kluber",11600,"CLE@DET 07:10PM ET",22.09,"CLE","DET",22.83,21.9,22.1045,NA,-0.05
"SP","Jon Lester",10600,"PHI@CHC 08:05PM ET",13.64,"CHC","PHI",23.74,18.6,24.2115,NA,16.45
"SP","Justin Verlander",10400,"CLE@DET 07:10PM ET",15.08,"DET","CLE",19.15,18.2,17.9165,NA,20.95
"SP","Masahiro Tanaka",9800,"TOR@NYY 07:05PM ET",15.3,"NYY","TOR",21.1,17.5,18.601,NA,13.45
"SP","James Paxton",9200,"LAA@SEA 10:10PM ET",27.31,"SEA","LAA",21.39,20.6,17.747,NA,16.6
"SP","Jose Quintana",9100,"CWS@KC 08:15PM ET",13.92,"CWS","KC",18.18,17.7,15.9195,NA,32.4
"SP","Cole Hamels",9000,"TEX@HOU 08:10PM ET",12.98,"TEX","HOU",19.16,15.9,14.8235,NA,NA
"SP","Carlos Martinez",8900,"MIL@STL 08:15PM ET",17.22,"STL","MIL",22.64,17.6,22.389,NA,25.5
"SP","Danny Duffy",8800,"CWS@KC 08:15PM ET",16.68,"KC","CWS",23.48,17.5,19.025,NA,-1.95
"SP","Ervin Santana",8600,"OAK@MIN 08:10PM ET",26.39,"MIN","OAK",18.91,17.9,16.7235,NA,27.9
"SP","Matt Shoemaker",8400,"LAA@SEA 10:10PM ET",12.76,"LAA","SEA",17.19,14.3,15.991,NA,10.6
"SP","Matt Moore",8200,"SF@LAD 10:10PM ET",12.86,"SF","LAD",16.08,17.2,14.383,NA,-11.1
"SP","Tanner Roark",8000,"ARI@WAS 07:05PM ET",14.91,"WAS","ARI",17.36,13.5,16.9335,NA,16.7
"SP","Alex Wood",7900,"SF@LAD 10:10PM ET",12.97,"LAD","SF",15.11,17.1,14.694,NA,18.45
"SP","Taijuan Walker",7800,"ARI@WAS 07:05PM ET",19.43,"ARI","WAS",16.86,14.1,13.388,NA,10.5
"SP","Matt Harvey",7700,"NYM@ATL 07:35PM ET",10.292,"NYM","ATL",18.55,14.7,15.19,NA,-3.2
"SP","Sonny Gray",7600,"OAK@MIN 08:10PM ET",0,"OAK","MIN",13.01,14.9,15.398,NA,9.3
"SP","Jeremy Hellickson",7400,"PHI@CHC 08:05PM ET",15.58,"PHI","CHC",12.41,13.1,14.285,NA,-5.6
"SP","Edinson Volquez",7200,"TB@MIA 07:10PM ET",10.43,"MIA","TB",15.16,12.4,16.32,NA,15.15
"SP","Alex Cobb",7100,"TB@MIA 07:10PM ET",10.97,"TB","MIA",12.4,13.8,14.256,NA,17.9
"SP","Tyler Chatwood",6900,"COL@SD 10:10PM ET",13.66,"COL","SD",15.85,16.9,13.488,NA,5.2
"SP","RA Dickey",6800,"NYM@ATL 07:35PM ET",13.213,"ATL","NYM",13.2,13.9,13.202,NA,12.1
"SP","Scott Feldman",6600,"PIT@CIN 07:10PM ET",14.41,"CIN","PIT",17.04,13.2,13.684,NA,-3.2
"SP","Mike Fiers",6500,"TEX@HOU 08:10PM ET",6.98,"HOU","TEX",NA,12.2,17.368,NA,16.7
"SP","Tyler Glasnow",6200,"PIT@CIN 07:10PM ET",4.55,"PIT","CIN",15.3,13.4,14.003,NA,16.7
"SP","Wily Peralta",6100,"MIL@STL 08:15PM ET",12.1,"MIL","STL",12.64,12.2,9.927,NA,17.8
"SP","Mat Latos",5800,"TOR@NYY 07:05PM ET",8.275,"TOR","NYY",8.61,8.8,9.244,NA,-1.6
"SP","Trevor Cahill",5000,"COL@SD 10:10PM ET",18.55,"SD","COL",12.52,15.7,16.663,NA,29.7
"SP","Alec Asher",4500,"BAL@BOS 07:10PM ET",8.25,"BAL","BOS",9.04,8.1,6.629,NA,11.3
