"Mike Trout_LAA","Corey Seager_LAD","Albert Pujols_LAA","Buster Posey_SF","Hunter Pence_SF","Kole Calhoun_LAA","Cameron Maybin_LAA","Brandon Belt_SF","Eduardo Nunez_SF","Adrian Gonzalez_LAD","Denard Span_SF","Yasiel Puig_LAD","Joe Panik_SF","Joc Pederson_LAD","Justin Turner_LAD","Brandon Crawford_SF","Yunel Escobar_LAA","Yasmani Grandal_LAD","Andrelton Simmons_LAA","Danny Espinosa_LAA","Martin Maldonado_LAA"
25.0958333333333,0,17.8857142857143,0,0,1.40952380952381,1.38636363636364,0,0,0,0,0,0,0,0,0,7.61428571428571,0,-1.81904761904762,11.8142857142857,-0.538461538461538
0,65.9809523809524,0,0,0,0,0,0,0,5.79487179487179,0,20.5952380952381,0,42.8,25.5833333333333,0,0,45.9807692307692,0,0,0
0,0,39.4,0,0,-10.1373626373626,-10.9242424242424,0,0,0,0,0,0,0,0,0,20.5384615384615,0,3.30769230769231,0.615384615384615,4.75
0,0,0,12.0181818181818,4.66666666666667,0,0,10.4,-3.16363636363636,0,-4.2,0,1.86666666666667,0,0,0.0909090909090909,0,0,0,0,0
0,0,0,0,27.1625,0,0,6.1047619047619,18.2857142857143,0,4.25555555555556,0,8.38095238095238,0,0,18.3076923076923,0,0,0,0,0
0,0,0,0,0,31.6952380952381,14.5454545454545,0,0,0,0,0,0,0,0,0,4.36813186813187,0,11.7582417582418,-4.97802197802198,3.93181818181818
0,0,0,0,0,0,17.1742424242424,0,0,0,0,0,0,0,0,0,-2.61363636363636,0,1.41666666666667,11.7348484848485,-0.777777777777778
0,0,0,0,0,0,0,42.2291666666667,11.0428571428571,0,-2.5,0,8.95714285714286,0,0,-2.15384615384615,0,0,0,0,0
0,0,0,0,0,0,0,0,63.9291666666667,0,9.76666666666667,0,15.1571428571429,0,0,15.0989010989011,0,0,0,0,0
0,0,0,0,0,0,0,0,0,24.5769230769231,0,0,0,11.6666666666667,10.1090909090909,0,0,21.3,0,0,0
0,0,0,0,0,0,0,0,0,0,14.0545454545455,0,-11.0818181818182,0,0,12.3777777777778,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.179487179487179,0,71.8291666666667,0,-2.61818181818182,21.6373626373626,0,0,6.44871794871795,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,36.3958333333333,0,0,0.538461538461538,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40.3636363636364,19.9333333333333,0,0,54.8888888888889,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5659340659341,0,0,25.6818181818182,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1238095238095,0,-5.63736263736264,6.11428571428571,1.06818181818182
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2564102564103,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9809523809524,-16.6703296703297,9.10897435897436
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1714285714286,-1.02272727272727
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2564102564103
