"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Broncos  (7546027)","Broncos ",7546027,3800,"Atl@Den 04:05PM ET","Den","Broncos","","Atl",11.22,10
"DST","Patriots  (7546013)","Patriots ",7546013,3700,"NE@Cle 01:00PM ET","NE","Patriots","","Cle",10.43,9.2
"DST","Steelers  (7546025)","Steelers ",7546025,3500,"NYJ@Pit 01:00PM ET","Pit","Steelers","","NYJ",9.88,9.6
"DST","Vikings  (7546023)","Vikings ",7546023,3400,"Hou@Min 01:00PM ET","Min","Vikings","","Hou",13.18,8.8
"DST","Rams  (7546031)","Rams ",7546031,3200,"Buf@LA 04:25PM ET","LA","Rams","","Buf",9.58,7.2
"DST","Packers  (7546034)","Packers ",7546034,3200,"NYG@GB 08:30PM ET","GB","Packers","","NYG",8.91,8.4
"DST","Bills  (7546030)","Bills ",7546030,3100,"Buf@LA 04:25PM ET","Buf","Bills","","LA",9.2,6.7
"DST","Ravens  (7546021)","Ravens ",7546021,3000,"Was@Bal 01:00PM ET","Bal","Ravens","","Was",9.5,6.4
"DST","Texans  (7546022)","Texans ",7546022,3000,"Hou@Min 01:00PM ET","Hou","Texans","","Min",8.61,6.3
"DST","Eagles  (7546015)","Eagles ",7546015,2900,"Phi@Det 01:00PM ET","Phi","Eagles","","Det",9.22,7.4
"DST","Dolphins  (7546019)","Dolphins ",7546019,2900,"Ten@Mia 01:00PM ET","Mia","Dolphins","","Ten",8.86,6.5
"DST","Jets  (7546024)","Jets ",7546024,2800,"NYJ@Pit 01:00PM ET","NYJ","Jets","","Pit",5.82,7.4
"DST","Bengals  (7546028)","Bengals ",7546028,2800,"Cin@Dal 04:25PM ET","Cin","Bengals","","Dal",6.42,7.2
"DST","Redskins  (7546020)","Redskins ",7546020,2700,"Was@Bal 01:00PM ET","Was","Redskins","","Bal",5.25,8.3
"DST","Cowboys  (7546029)","Cowboys ",7546029,2700,"Cin@Dal 04:25PM ET","Dal","Cowboys","","Cin",6.3,4.6
"DST","Colts  (7546017)","Colts ",7546017,2600,"Chi@Ind 01:00PM ET","Ind","Colts","","Chi",8.28,6.9
"DST","Giants  (7546035)","Giants ",7546035,2600,"NYG@GB 08:30PM ET","NYG","Giants","","GB",5.99,6.5
"DST","Lions  (7546014)","Lions ",7546014,2500,"Phi@Det 01:00PM ET","Det","Lions","","Phi",7.49,6.8
"DST","Titans  (7546018)","Titans ",7546018,2400,"Ten@Mia 01:00PM ET","Ten","Titans","","Mia",6.96,6.2
"DST","Raiders  (7546032)","Raiders ",7546032,2400,"SD@Oak 04:25PM ET","Oak","Raiders","","SD",6.22,6.9
"DST","Falcons  (7546026)","Falcons ",7546026,2300,"Atl@Den 04:05PM ET","Atl","Falcons","","Den",6.52,5.7
"DST","Browns  (7546012)","Browns ",7546012,2200,"NE@Cle 01:00PM ET","Cle","Browns","","NE",4.79,5.1
"DST","Bears  (7546016)","Bears ",7546016,2200,"Chi@Ind 01:00PM ET","Chi","Bears","","Ind",4.85,5.2
"DST","Chargers  (7546033)","Chargers ",7546033,2100,"SD@Oak 04:25PM ET","SD","Chargers","","Oak",6.74,5.8
