"Contest_ID","Contest_Name","Contest_Date","Max_Entry","Entry_Fee","Slate","Contest_Size"
0,"NFL PLAY ACTION WK1",2016-09-11,150,"$3.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK2",2016-09-18,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK2",2016-09-18,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK3",2016-09-25,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK3",2016-09-25,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK4",2016-10-02,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK4",2016-10-02,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK5",2016-10-09,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK5",2016-10-09,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK6",2016-10-16,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK6",2016-10-16,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK7",2016-10-23,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK7",2016-10-23,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK8",2016-10-30,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK8",2016-10-30,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK9",2016-11-06,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK9",2016-11-06,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK10",2016-11-13,150,"$4.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK11",2016-11-20,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK11",2016-11-20,150,"$27.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK12",2016-11-27,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK12",2016-11-27,150,"$27.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK13",2016-12-04,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK13",2016-12-04,150,"$27.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK14",2016-12-11,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK14",2016-12-11,150,"$27.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK15",2016-12-18,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK15",2016-12-18,150,"$27.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK16",2016-12-25,150,"$4.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK16",2016-12-25,150,"$50.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK17",2016-01-01,150,"$3.00","Sun 100PM",NA
0,"NFL MILLIONAIRE MAKER WK17",2016-01-01,150,"$20.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK18",2016-01-07,150,"$3.00","Sun 100PM",NA
0,"NFL PLAY ACTION WK19",2016-01-14,150,"$3.00","Sun 100PM",NA
43751291,"NFL $750K Season Opener [$100K to 1st] (Thu)",2017-09-10,150,"$8.00","Thu 830PM",110294
43229171,"NFL $5.55M Fantasy Football Millionaire [$1M to 1st]",2017-09-10,150,"$20.00","Sun 100PM",321130
44257460,"NFL $15K Play-Action [20 Entry Max] (Sun-Mon)",2017-09-10,20,"$3.00","Sun 100PM",5882
43229170,"NFL $2M Play-Action [$200K to 1st]",2017-09-10,20,"$3.00","Sun 100PM",784313
43412810,"NFL Pick'Em $1M Kickoff [$100K to 1st]",2017-09-10,20,"$3.00","Sun 100PM",392156
43751412,"NFL GIANT $5 Double Up (Thu)",2017-09-10,100,"$5.00","Thu 830PM",17241
43779443,"NFL Pick'Em $50K Bootleg (Thu)",2017-09-10,50,"$33.00","Thu 830PM",1751
43751286,"NFL $50K Hot Route (Thu)",2017-09-10,15,"$100.00","Thu 830PM",555
43751563,"NFL $30K Super Booster [Top 300 Win $100] (Thu)",2017-09-10,20,"$4.00","Thu 830PM",8823
43751414,"NFL MASSIVE $25 Double Up (Thu)",2017-09-10,100,"$25.00","Thu 830PM",4597
43803640,"$12M Fantasy Football World Championship Qualifier #1 (Thu)",2017-09-10,150,"$6.00","Thu 830PM",14462
43751415,"NFL GIANT $100 Double Up (Thu)",2017-09-10,15,"$100.00","Thu 830PM",555
43751280,"NFL $150K Play-Action [20 Entry Max] (Thu)",2017-09-10,20,"$3.00","Thu 830PM",58823
43229169,"NFL $1.5M Wildcat [$250K to 1st]",2017-09-10,150,"$333.00","Sun 100PM",5005
43776113,"NFL Fantasy Football Millionaire SUPERSatellite [425x] (Thu)",2017-09-10,20,"$1.00","Thu 830PM",10000
43751289,"NFL $50K First Down (Thu)",2017-09-10,20,"$1.00","Thu 830PM",58823
43751562,"NFL $20K Super Booster [Top 20 Win $1K] (Thu)",2017-09-10,25,"$27.00","Thu 830PM",856
44108729,"NFL Pick'Em $5K Play-Action (Thu)",2017-09-10,20,"$3.00","Thu 830PM",1960
43776114,"NFL Fantasy Football Millionaire SUPERSatellite [250x] (Thu)",2017-09-10,20,"$3.00","Thu 830PM",1960
43776115,"NFL Fantasy Football Millionaire SUPERSatellite [250x] (Thu)",2017-09-10,25,"$6.00","Thu 830PM",980
43751413,"NFL GIANT $10 Double Up (Thu)",2017-09-10,100,"$10.00","Thu 830PM",5747
43751410,"NFL GIANT $2 Double Up (Thu)",2017-09-10,20,"$2.00","Thu 830PM",11494
43751416,"NFL GIANT $50 Double Up (Thu)",2017-09-10,13,"$50.00","Thu 830PM",454
43751283,"NFL $25K Hail Mary (Thu)",2017-09-10,70,"$12.00","Thu 830PM",2408
43751284,"NFL $10K Flea Flicker (Thu)",2017-09-10,70,"$5.00","Thu 830PM",2352
43751287,"NFL $10K Safety (Thu)",2017-09-10,20,"$2.00","Thu 830PM",5882
43751290,"NFL $15K Quarter Jukebox [Just $0.25!]  (Thu)",2017-09-10,20,"$0.25","Thu 830PM",70588
43779696,"NFL Pick'Em $5 Double Up (Thu)",2017-09-10,45,"$5.00","Thu 830PM",1609
43779444,"NFL Pick'Em $5K Post Pattern (Thu)",2017-09-10,20,"$8.00","Thu 830PM",735
43231803,"NFL $500K Post Pattern",2017-09-10,150,"$8.00","Sun 100PM",73529
43485267,"NFL Pick'Em $300K Wildcat [$50K to 1st]",2017-09-10,30,"$333.00","Sun 100PM",1001
43452318,"NFL Pick'Em $300K Gridiron [$50K to 1st]",2017-09-10,150,"$27.00","Sun 100PM",12845
43807427,"$12M Fantasy Football World Championship Qualifier #4",2017-09-10,77,"$33.00","Sun 100PM",2589
43806681,"$12M Fantasy Football World Championship Qualifier #3",2017-09-10,150,"$5.00","Sun 100PM",17330
43231809,"NFL $200K First Down",2017-09-10,20,"$1.00","Sun 100PM",235294
43806676,"$12M Fantasy Football World Championship Qualifier #5",2017-09-10,17,"$150.00","Sun 100PM",578
43233808,"NFL MASSIVE $25 Double Up",2017-09-10,150,"$25.00","Sun 100PM",22988
43233815,"NFL MASSIVE $25 Double Up [20 Entry Max]",2017-09-10,20,"$25.00","Sun 100PM",4597
43233741,"NFL MASSIVE $5 Double Up",2017-09-10,150,"$5.00","Sun 100PM",57471
43233043,"NFL MASSIVE $5 Double Up [20 Entry Max]",2017-09-10,20,"$5.00","Sun 100PM",22988
43231797,"NFL $100K Flea Flicker",2017-09-10,150,"$5.00","Sun 100PM",23529
43556066,"NFL Thunderdome Series Satellite (Part of $2M Thunderdome Series)",2017-09-10,35,"$5.00","Sun 100PM",1247
43556071,"NFL Fantasy Football Millionaire SUPERSatellite [500x]",2017-09-10,20,"$1.00","Sun 100PM",11764
43556069,"NFL Fantasy Football Millionaire SUPERSatellite [375x]",2017-09-10,40,"$6.00","Sun 100PM",1470
43556070,"NFL Fantasy Football Millionaire SUPERSatellite [300x]",2017-09-10,20,"$4.00","Sun 100PM",1764
43231802,"NFL $75K Quarter Jukebox [Just $0.25!] ",2017-09-10,20,"$0.25","Sun 100PM",352941
43233821,"NFL MASSIVE $250 Double Up",2017-09-10,15,"$250.00","Sun 100PM",555
43233810,"NFL MASSIVE $100 Double Up",2017-09-10,45,"$100.00","Sun 100PM",1666
43233809,"NFL GIANT $100 Double Up",2017-09-10,15,"$100.00","Sun 100PM",555
43233807,"NFL MASSIVE $50 Double Up",2017-09-10,100,"$50.00","Sun 100PM",3409
43233812,"NFL MASSIVE $50 Double Up [20 Entry Max]",2017-09-10,20,"$50.00","Sun 100PM",2272
43233047,"NFL MASSIVE $10 Double Up",2017-09-10,100,"$10.00","Sun 100PM",11494
43233051,"NFL GIANT $10 Double Up [20 Entry Max]",2017-09-10,20,"$10.00","Sun 100PM",5747
43233044,"NFL GIANT $2 Double Up",2017-09-10,20,"$2.00","Sun 100PM",14367
43233046,"NFL GIANT $2 Double Up",2017-09-10,20,"$2.00","Sun 100PM",28735
43232678,"NFL $125K Super Booster [Top 125 Win $1,000]",2017-09-10,150,"$27.00","Sun 100PM",5352
43232679,"NFL BIG $5 Booster [Top 1,000 Win $100]",2017-09-10,150,"$5.00","Sun 100PM",23529
43232677,"NFL BIG $2 Booster [Top 1,250 Win $20]",2017-09-10,20,"$2.00","Sun 100PM",14705
43233819,"NFL $20K Double Bubble [$20K Gtd, 40% Win]",2017-09-10,20,"$3.00","Sun 100PM",7843
43231807,"NFL $50K Goal Line",2017-09-10,20,"$75.00","Sun 100PM",757
43231805,"NFL $25K Chop Block",2017-09-10,15,"$50.00","Sun 100PM",568
43231806,"NFL $25K Hail Mary",2017-09-10,70,"$12.00","Sun 100PM",2408
43231808,"NFL $25K Hitch And Go",2017-09-10,125,"$7.00","Sun 100PM",4201
43231804,"NFL $50K Safety",2017-09-10,20,"$2.00","Sun 100PM",29411
43232620,"NFL $5K Mini Hail Mary",2017-09-10,14,"$12.00","Sun 100PM",481
43232622,"NFL $5K Mini Slant",2017-09-10,19,"$9.00","Sun 100PM",653
43232624,"NFL $5K Mini Flea Flicker",2017-09-10,35,"$5.00","Sun 100PM",1176
43232625,"NFL $5K Mini Play-Action",2017-09-10,20,"$3.00","Sun 100PM",1960
43801549,"NFL $10K Dime Package [Just $0.10!] ",2017-09-10,20,"$0.10","Sun 100PM",117647
43548358,"NFL Pick'Em $20K Post Pattern",2017-09-10,20,"$8.00","Sun 100PM",2941
43548359,"NFL Pick'Em $10K Flea Flicker",2017-09-10,70,"$5.00","Sun 100PM",2352
43486465,"NFL Pick'Em $5 Double Up",2017-09-10,65,"$5.00","Sun 100PM",2298
43548342,"NFL Pick'Em $5 Double Up",2017-09-10,65,"$5.00","Sun 100PM",2298
43548341,"NFL Pick'Em $2 Double Up",2017-09-10,20,"$2.00","Sun 100PM",2873
43548339,"NFL Pick'Em $4K Safety",2017-09-10,20,"$2.00","Sun 100PM",2352
43486468,"NFL Pick'Em $10K First Down",2017-09-10,20,"$1.00","Sun 100PM",11764
43856122,"NFL $160K Flea Flicker (Early Only)",2017-09-10,150,"$5.00","Sun 100PM",37647
43856117,"NFL $50K Bootleg (Early Only)",2017-09-10,50,"$33.00","Sun 100PM",1751
43856123,"NFL $25K Play-Action [20 Entry Max] (Early Only)",2017-09-10,20,"$3.00","Sun 100PM",9803
43953576,"NFL Fantasy Football Millionaire SUPERSatellite [60x] (Early Only)",2017-09-10,20,"$1.00","Sun 100PM",1411
