"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Jake Arrieta",10400,"ChC@StL 08:15PM ET",20.379,"ChC","StL",20.98,18.6,18.8205,NA,25.3
"SP","Johnny Cueto",10200,"SF@Ari 09:40PM ET",22.171,"SF","Ari",22.06,20.1,18.7505,NA,12.45
"SP","Kenta Maeda",9600,"SD@LAD 10:10PM ET",15.154,"LAD","SD",20.18,18.6,19.006,NA,8.45
"SP","Lance McCullers",9500,"Sea@Hou 08:10PM ET",20.375,"Hou","Sea",19.28,17.7,20.179,NA,25.9
"SP","Carlos Carrasco",8800,"Cle@Tex 08:05PM ET",18.706,"Cle","Tex",20.7,20.9,20.531,NA,23.15
"SP","Matt Shoemaker",8400,"LAA@Oak 10:05PM ET",15.822,"LAA","Oak",19.53,16.3,15.43,NA,11.05
"SP","Jake Odorizzi",7800,"NYY@TB 07:10PM ET",15.256,"TB","NYY",16.71,15.6,17.36,NA,8.1
"SP","Hisashi Iwakuma",7700,"Sea@Hou 08:10PM ET",14.011,"Sea","Hou",13.84,12.3,11.487,NA,9.3
"SP","Sean Manaea",7400,"LAA@Oak 10:05PM ET",14.876,"Oak","LAA",16.97,14.9,14.232,NA,8.7
"SP","Adam Wainwright",7300,"ChC@StL 08:15PM ET",13.282,"StL","ChC",13.73,17.7,14.741,NA,16.25
"SP","CC Sabathia",6900,"NYY@TB 07:10PM ET",14.688,"NYY","TB",14.39,16.3,16.875,NA,16.25
"SP","Zach Davies",6500,"Col@Mil 07:40PM ET",14.696,"Mil","Col",15.17,15.6,16.01,NA,-8.05
"SP","Tyler Anderson",5900,"Col@Mil 07:40PM ET",14.763,"Col","Mil",15.9,19.6,16.591,NA,17.35
"SP","Martin Perez",5700,"Cle@Tex 08:05PM ET",9.939,"Tex","Cle",11.22,8.9,8.846,NA,10.1
"SP","Clayton Richard",5200,"SD@LAD 10:10PM ET",3.455,"SD","LAD",8.95,12.1,10.356,NA,27.8
"SP","Patrick Corbin",5000,"SF@Ari 09:40PM ET",8.038,"Ari","SF",12.44,12.3,11.545,NA,1.6
