"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Paul Goldschmidt",5200,"SF@Ari 09:40PM ET",9.88,"Ari","SF",8.64,8.7,10.33,NA,"3","3",19
"2B","Jose Altuve",4900,"Sea@Hou 08:10PM ET",10.043,"Hou","Sea",9.78,9.3,9.91,NA,"3","3",3
"SS","Carlos Correa",4800,"Sea@Hou 08:10PM ET",8.301,"Hou","Sea",8.52,8.3,9.12,NA,"4","4",2
"3B","Josh Donaldson",4600,"Tor@TB 07:10PM ET",10.03,"Tor","TB",8.52,9.8,9.28,NA,"2","2",4
"OF","Nelson Cruz",4500,"Sea@Hou 08:10PM ET",9.109,"Sea","Hou",7.26,8.4,8.81,NA,"4","4",2
"OF","George Springer",4500,"Sea@Hou 08:10PM ET",8.821,"Hou","Sea",9.45,9.6,9.05,NA,"1","1",16
"2B","Robinson Cano",4400,"Sea@Hou 08:10PM ET",9.093,"Sea","Hou",8.31,9.1,8.48,NA,"3","3",3
"2B/SS","Jean Segura",4400,"Sea@Hou 08:10PM ET",9.575,"Sea","Hou",6.61,8.4,8.11,NA,"1","1",13
"OF","Jose Bautista",4300,"Tor@TB 07:10PM ET",8.272,"Tor","TB",7.22,8.6,8.69,NA,"3","3",6
"1B","Freddie Freeman",4300,"Atl@NYM 07:10PM ET",9.506,"Atl","NYM",6.71,7.8,8.13,NA,"3","3",0
"OF","Yoenis Cespedes",4300,"Atl@NYM 07:10PM ET",8.366,"NYM","Atl",8.43,7,8.42,NA,"3","3",9
"OF","Hunter Pence",4300,"SF@Ari 09:40PM ET",7.33,"SF","Ari",7.03,9.7,8.36,NA,"3","3",4
"1B/C","Buster Posey",4200,"SF@Ari 09:40PM ET",7.605,"SF","Ari",8.57,10.2,8.55,NA,"4","4",12
"OF","AJ Pollock",4200,"SF@Ari 09:40PM ET",8.333,"Ari","SF",8.51,8.6,9.77,NA,"1","1",11
"3B","Evan Longoria",4100,"Tor@TB 07:10PM ET",8.256,"TB","Tor",6.4,6.8,7.75,NA,"3","3",7
